n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.01,normal,0,1000000,31412,0,0,0,0.031412,0.0,167.25477367732674,-4.31313537992537
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.01,normal,0,1000000,64898,0,0,0,0.064898,0.0,202.50375663209707,27.967678227927536
5,x,4,"['x', 'z', 'x', 'x', 'x']",0.01,normal,0,1000000,25683,0,0,0,0.025683,0.0,170.26895927684382,5.234792205039412
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.01,normal,0,1000000,134659,0,0,0,0.134659,0.0,229.7718245801516,23.328530970495194
5,x,6,"['x', 'x', 'z', 'x', 'x']",0.01,normal,0,1000000,24923,0,1,0,0.024923,0.0,151.7553004939109,1.324933058116585
5,x,7,"['z', 'x', 'z', 'x', 'x']",0.01,normal,0,1000000,53461,6,11,0,0.053461,0.00011223134621496378,485.5963234039955,8.061417626682669
5,x,8,"['x', 'z', 'z', 'x', 'x']",0.01,normal,0,1000000,29291,204,277,0,0.029291,0.006964596633778242,169.3241384709254,9.907161727081984
5,x,9,"['z', 'z', 'z', 'x', 'x']",0.01,normal,0,1000000,299771,0,0,0,0.299771,0.0,615.4797713058069,43.526130558457226
5,x,10,"['x', 'x', 'x', 'z', 'x']",0.01,normal,0,1000000,27363,1,2,0,0.027363,3.654570039834937e-05,160.41077926196158,-5.98411934170872
5,x,11,"['z', 'x', 'x', 'z', 'x']",0.01,normal,0,1000000,53573,4,9,0,0.053573,7.466447650872343e-05,464.63123453594744,18.280928227119148
5,x,12,"['x', 'z', 'x', 'z', 'x']",0.01,normal,0,1000000,27487,266,459,0,0.027487,0.009677301997307763,176.50497789913788,-10.692048755008727
5,x,13,"['z', 'z', 'x', 'z', 'x']",0.01,normal,0,1000000,129709,138,242,0,0.129709,0.001063920005550889,244.82976082293317,19.103970683179796
5,x,14,"['x', 'x', 'z', 'z', 'x']",0.01,normal,0,1000000,28430,534,978,0,0.02843,0.018782975729862872,145.30308448104188,12.236688595730811
5,x,15,"['z', 'x', 'z', 'z', 'x']",0.01,normal,0,1000000,84089,6322,9853,0,0.084089,0.0751822473807513,215.55252060387284,15.140484203118831
5,x,16,"['x', 'z', 'z', 'z', 'x']",0.01,normal,0,1000000,63746,22077,36290,0,0.063746,0.34632761271295454,159.70157669531181,6.013218824751675
5,x,17,"['z', 'z', 'z', 'z', 'x']",0.01,normal,0,1000000,1000000,2,3,0,1.0,1.999999999946489e-06,278.9827410490252,61.18838943494484
5,x,18,"['x', 'x', 'x', 'x', 'z']",0.01,normal,0,1000000,36130,4,9,0,0.03613,0.00011071132023254826,166.80957358609885,-14.662834452930838
5,x,19,"['z', 'x', 'x', 'x', 'z']",0.01,normal,0,1000000,61569,7,14,0,0.061569,0.00011369357956114712,216.23515876196325,-0.8161522340960801
5,x,20,"['x', 'z', 'x', 'x', 'z']",0.01,normal,0,1000000,27832,322,599,0,0.027832,0.011569416498994012,170.59466492803767,3.9012648398056626
5,x,21,"['z', 'z', 'x', 'x', 'z']",0.01,normal,0,1000000,123381,72,138,0,0.123381,0.000583558246407434,233.90363168576732,31.66178263956681
5,x,22,"['x', 'x', 'z', 'x', 'z']",0.01,normal,0,1000000,26988,466,875,0,0.026988,0.017266933451904554,153.78430671198294,-2.0836632712744176
5,x,23,"['z', 'x', 'z', 'x', 'z']",0.01,normal,0,1000000,66669,3004,5053,0,0.066669,0.045058422955196575,210.04979322804138,9.59779510088265
5,x,24,"['x', 'z', 'z', 'x', 'z']",0.01,normal,0,1000000,43046,12086,21014,0,0.043046,0.28076940946894025,175.47005990007892,2.7570898877456784
5,x,25,"['z', 'z', 'z', 'x', 'z']",0.01,normal,0,1000000,395679,1592,2670,0,0.395679,0.004023463464070676,380.35973060596734,-72.68432617466897
5,x,26,"['x', 'x', 'x', 'z', 'z']",0.01,normal,0,1000000,28560,596,1103,0,0.02856,0.02086834733893561,343.62816012697294,4.762124215718359
5,x,27,"['z', 'x', 'x', 'z', 'z']",0.01,normal,0,1000000,63449,2607,4482,0,0.063449,0.041088118016044395,205.72524883737788,6.168611021712422
5,x,28,"['x', 'z', 'x', 'z', 'z']",0.01,normal,0,1000000,36988,9001,16072,0,0.036988,0.24334919433329727,167.79491725936532,14.356512133032084
5,x,29,"['z', 'z', 'x', 'z', 'z']",0.01,normal,0,1000000,214393,22758,33271,0,0.214393,0.1061508538058612,245.4038844318129,22.68383645126596
5,x,30,"['x', 'x', 'z', 'z', 'z']",0.01,normal,0,1000000,35613,8250,14307,0,0.035613,0.23165697919299133,163.694148611743,-4.47453625081107
5,x,31,"['z', 'x', 'z', 'z', 'z']",0.01,normal,0,1000000,120259,39568,53251,0,0.120259,0.32902319161143867,215.62337923189625,8.234440252184868
5,z,2,"['z', 'x', 'x', 'x', 'x']",0.01,normal,0,1000000,64898,14396,22696,0,0.064898,0.22182501772011465,211.5092604830861,15.553255178965628
5,z,3,"['x', 'z', 'x', 'x', 'x']",0.01,normal,0,1000000,25683,3013,5396,0,0.025683,0.11731495541798076,166.73218838404864,-8.975468648131937
5,z,4,"['z', 'z', 'x', 'x', 'x']",0.01,normal,0,1000000,134659,5252,8880,0,0.134659,0.039002220423439926,559.2039334988222,15.81642041914165
5,z,5,"['x', 'x', 'z', 'x', 'x']",0.01,normal,0,1000000,24923,2933,5150,0,0.024923,0.11768246198290733,159.61026031989604,4.378197341226041
5,z,6,"['z', 'x', 'z', 'x', 'x']",0.01,normal,0,1000000,53461,514,966,0,0.053461,0.009614485325751487,390.66842067288235,-146.20359983388335
5,z,7,"['x', 'z', 'z', 'x', 'x']",0.01,normal,0,1000000,29291,111,216,0,0.029291,0.0037895599330852736,171.9578379089944,1.697802082169801
5,z,8,"['z', 'z', 'z', 'x', 'x']",0.01,normal,0,1000000,299771,130,231,0,0.299771,0.00043366436379765894,334.720359176863,322.702522279229
5,z,9,"['x', 'x', 'x', 'z', 'x']",0.01,normal,0,1000000,27363,4029,6456,0,0.027363,0.1472426269049446,155.8457144140266,-5.7242609998211265
5,z,10,"['z', 'x', 'x', 'z', 'x']",0.01,normal,0,1000000,53573,707,1250,0,0.053573,0.013196946222910788,218.41296233888716,3.6590167731046677
5,z,11,"['x', 'z', 'x', 'z', 'x']",0.01,normal,0,1000000,27487,63,120,0,0.027487,0.0022919925783096984,162.26503644976765,7.329429242294282
5,z,12,"['z', 'z', 'x', 'z', 'x']",0.01,normal,0,1000000,129709,8,13,0,0.129709,6.167652206090501e-05,269.71465840376914,-19.116549053695053
5,z,13,"['x', 'x', 'z', 'z', 'x']",0.01,normal,0,1000000,28430,62,121,0,0.02843,0.0021807949349278433,337.57691174698994,7.397070806939155
5,z,14,"['z', 'x', 'z', 'z', 'x']",0.01,normal,0,1000000,84089,0,1,0,0.084089,0.0,215.79966491507366,15.284481583163142
5,z,15,"['x', 'z', 'z', 'z', 'x']",0.01,normal,0,1000000,63746,0,1,0,0.063746,0.0,171.18836583802477,5.866158420220017
5,z,16,"['z', 'z', 'z', 'z', 'x']",0.01,normal,0,1000000,1000000,0,0,0,1.0,0.0,272.5984650379978,62.28323050402105
5,z,17,"['x', 'x', 'x', 'x', 'z']",0.01,normal,0,1000000,36130,7895,11070,0,0.03613,0.2185164683088846,150.60889293486252,19.416858608368784
5,z,18,"['z', 'x', 'x', 'x', 'z']",0.01,normal,0,1000000,61569,1914,3189,0,0.061569,0.03108707304000391,210.03585272887722,15.888581012375653
5,z,19,"['x', 'z', 'x', 'x', 'z']",0.01,normal,0,1000000,27832,118,212,0,0.027832,0.004239724058637484,165.33991904789582,-1.9881580392830074
5,z,20,"['z', 'z', 'x', 'x', 'z']",0.01,normal,0,1000000,123381,20,38,0,0.123381,0.00016209951289092306,240.52714822813869,14.102622953709215
5,z,21,"['x', 'x', 'z', 'x', 'z']",0.01,normal,0,1000000,26988,54,85,0,0.026988,0.0020008892841262282,142.68547806190327,8.435142031870782
5,z,22,"['z', 'x', 'z', 'x', 'z']",0.01,normal,0,1000000,66669,0,1,0,0.066669,0.0,263.714855466038,141.6714752628468
5,z,23,"['x', 'z', 'z', 'x', 'z']",0.01,normal,0,1000000,43046,0,0,0,0.043046,0.0,177.39715406717733,0.2540314868092537
5,z,24,"['z', 'z', 'z', 'x', 'z']",0.01,normal,0,1000000,395679,0,0,0,0.395679,0.0,265.3591813109815,6.228233496192843
5,z,25,"['x', 'x', 'x', 'z', 'z']",0.01,normal,0,1000000,28560,47,60,0,0.02856,0.0016456582633053163,153.26238185726106,23.40086797857657
5,z,26,"['z', 'x', 'x', 'z', 'z']",0.01,normal,0,1000000,63449,1,2,0,0.063449,1.576068968778266e-05,367.5540604875423,-174.83070948254317
5,z,27,"['x', 'z', 'x', 'z', 'z']",0.01,normal,0,1000000,36988,0,0,0,0.036988,0.0,167.83457843773067,-14.831911270041019
5,z,28,"['z', 'z', 'x', 'z', 'z']",0.01,normal,0,1000000,214393,0,0,0,0.214393,0.0,276.9114323621616,-58.72907731309533
5,z,29,"['x', 'x', 'z', 'z', 'z']",0.01,normal,0,1000000,35613,0,0,0,0.035613,0.0,167.14036930492148,0.6522834021598101
5,z,30,"['z', 'x', 'z', 'z', 'z']",0.01,normal,0,1000000,120259,0,0,0,0.120259,0.0,228.8691536220722,-41.01186440279707
5,z,31,"['x', 'z', 'z', 'z', 'z']",0.01,normal,0,1000000,67809,0,0,0,0.067809,0.0,152.266553720925,-4.669358066283166
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.005,normal,0,1000000,174936,0,0,0,0.174936,0.0,196.83728674659505,12.964407670777291
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.005,normal,0,1000000,251684,0,0,0,0.251684,0.0,232.4970563449897,24.247644593007863
5,x,4,"['x', 'z', 'x', 'x', 'x']",0.005,normal,0,1000000,155689,0,1,0,0.155689,0.0,194.78820187877864,-1.2057746248319745
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.005,normal,0,1000000,363192,0,0,0,0.363192,0.0,255.13964980328456,32.95207812357694
5,x,6,"['x', 'x', 'z', 'x', 'x']",0.005,normal,0,1000000,154291,0,0,0,0.154291,0.0,193.80238801706582,6.886244119144976
5,x,7,"['z', 'x', 'z', 'x', 'x']",0.005,normal,0,1000000,224980,1,2,0,0.22498,4.444839541317691e-06,229.58362351497635,55.328675204887986
5,x,8,"['x', 'z', 'z', 'x', 'x']",0.005,normal,0,1000000,165413,198,366,0,0.165413,0.0011970038630578772,209.18395448289812,178.43731299135834
5,x,9,"['z', 'z', 'z', 'x', 'x']",0.005,normal,0,1000000,534038,0,0,0,0.534038,0.0,616.100320384372,71.33242582064122
5,x,10,"['x', 'x', 'x', 'z', 'x']",0.005,normal,0,1000000,155820,0,0,0,0.15582,0.0,409.7293657292612,23.219673552550375
5,x,11,"['z', 'x', 'x', 'z', 'x']",0.005,normal,0,1000000,223857,1,2,0,0.223857,4.467137502905949e-06,334.02019794424996,-92.51576156495139
5,x,12,"['x', 'z', 'x', 'z', 'x']",0.005,normal,0,1000000,161756,316,613,0,0.161756,0.0019535596824847845,187.13282810803503,15.950312628876418
5,x,13,"['z', 'z', 'x', 'z', 'x']",0.005,normal,0,1000000,338595,20,39,0,0.338595,5.906761765528401e-05,265.26516596693546,10.532543813344091
5,x,14,"['x', 'x', 'z', 'z', 'x']",0.005,normal,0,1000000,163306,658,1274,0,0.163306,0.004029245710506668,203.66628060722724,-5.152278476394713
5,x,15,"['z', 'x', 'z', 'z', 'x']",0.005,normal,0,1000000,261188,4788,8365,0,0.261188,0.018331623198615588,236.56415467476472,27.53674909705296
5,x,16,"['x', 'z', 'z', 'z', 'x']",0.005,normal,0,1000000,215136,37344,61940,0,0.215136,0.17358322177599284,309.04435816500336,-4.446341761853546
5,x,17,"['z', 'z', 'z', 'z', 'x']",0.005,normal,0,1000000,1000000,0,0,0,1.0,0.0,276.007381984964,64.93003686703742
5,x,18,"['x', 'x', 'x', 'x', 'z']",0.005,normal,0,1000000,169282,0,1,0,0.169282,0.0,190.16114034689963,14.618549509905279
5,x,19,"['z', 'x', 'x', 'x', 'z']",0.005,normal,0,1000000,231482,1,2,0,0.231482,4.319990323242706e-06,267.9158308589831,-12.580345700029284
